business_id,date,review_id,stars,text,type,user_id,cool,useful,funny
-5rFC4EVrT-v8g1PSEf6Xg,12/9/2012,SV-4U14VPYsKS4cQ45gxFw,5,"Decided to give this place a chance and was quite delighted. I am vegan and that's an issue sometimes. I tried the vegetable chow mein(medium spicy) and I love it. I get extra broccoli and there is so much flavor in the veggies and noodles. My husband has tried the General Tso's chicken, The BBQ pork chow mein, the mu shu pork and the garlic chicken and he loved them all. The great thing is that this is a family run business and it shows in the food. I highly recommend at least trying this place. it's reasonably priced and there are great lunch specials during the week.",review,QHWGKJlwpchGsEURbbSDKw,0,0,0
d3MxUXS1b6U2P_gGuCO1-A,12/22/2008,yBdRby6KNj8ILxjrg-0Zvw,5,Cant say enough good things about Sens. Excellent food and excellent service.,review,gkVupbASJchEKczvnj5U3g,1,1,0
nWJ55k8utQHrDqT_n7nYTg,3/9/2012,OM5Tqn8BFSNC92SIhFNgzw,5,"Okay, you might be asking yourself ""who reviews a Taco Bell? or even looks up reviews for Taco Bell?"" Well, I would ask myself that if I were you, but here we are.This Taco Bell is awesome. They have really nice and friendly people working for them, and my husband and I would eat inside because we liked the service. We lived a block away, and came every so often over 3.5 years and it was always the same. We appreciate that kind of good service, and it's not one you would expect to get from a fast-food chain.",review,g4uw_h8-3HKyZm6jES85eg,0,0,0
gFJtzwGmDTABRwL2F8GsSw,7/21/2012,wlCFmI4CWmLOMfs2oBrLtQ,5,"It is great.  Great ambiance, food, and service.  I love the rooftop bar too.",review,wj53JTTIld0AjIolfg9v2Q,0,1,0
-4A5xmN21zi_TXnUESauUQ,7/9/2009,xCa9A2FhTlilkemseYNF8w,5,"Introduced to D'lish today by a friend. I'd already had breakfast (although the menu looks great, lots of delicious sounding, healthy options) but he suggested a Chai coffee. I don't usually like Chai Tea, but I thought I'd give the Chai coffee a chance based on his recommendation.When I ordered, the server suggested a ""Sexy Dirty Chai"", which as lurid as it sounds means adding vanilla. The Sexy Dirty Chai Coffee over ice is hands down now my favorite coffee drink. The place is tiny, has a really cool, funky interior and also has a drive thru- a true local gem. The service is friendly and energetic and I plan to start my day here again soon :)",review,U8ayzBXrBzgjdrCYOzwNOg,3,4,2
eJpr6Ks8pr4bmvDVPTN-Xg,5/29/2011,nHuVrrxq2NNsJBLudLRtGg,5,"It is almost impossible to find a great sandwich shop that actually has good grinders and sandwiches.  Well my search is over.  I stumbled across this little shop and felt right at home in New England.  Being from Connecticut, I was so excited to see all the great food on the menu.  I had the Vermonter and it was bliss at every bite.  The owners are extremely friendly and you can tell that they want you to be very happy with their food and service.  Great food and great service, you will not be dissapointed....",review,8V1itryD-OFPou8qE3d90g,8,9,7
28ycqW56i70yM_C0ejNv9w,3/8/2012,LKURql-RV7IWuHmUiQujwQ,5,"LOVE LOVE THIS PLACE!  always need to find a reason to drive so far to Chandler:-)  so fresh, soup delish, and sauces yummy!!! BYOB, and casual...feels like my grandmas:-)",review,bmjmYa_CpKcqS_8YV9v7OQ,0,0,0
oxsCvEkQNNIbOPDt_QK_0A,3/11/2011,khNnDoD5rGttqTza9KxvZg,5,"With our regular Indian place converted to buffet and my lunch companions refusing to go (don't tell them, but I would go anyway), it was time to find a new Indian spot for the work lunch rotation.  We were on a mission and I was trying to figure out whether Jewel would be added to the list of acceptable lunch haunts.  After managing a circuitous route to the top floor of a parking garage, we navigated a maze like structure of corridors to find the restaurant.  Travel time was starting to negate Jewel from the list.  The lunch menu was small, and we all ordered the thali meat combination.    After a modest wait time the food arrived in an array of metal containers and was delicious.  I hope we go back, but majority rules.",review,U_fAIe7CUaGMejwSdNvMgw,0,0,0
5VMajxduxfLPSyQkVFKESg,3/29/2012,HXEYXZXPqUdlErQgckfHUQ,5,"Never disappointed with this place!Get the brisket, get the pork. Get the beans. They're bangin'!!!!!! The sauce is delicious the mac and cheese is pretty good, the cheesy potatoes are good too. The real standouts I would have to say are the brisket and the beans. Do NOT skip the beans. Trust me. I'm not even a meat person but I do like Joe's because everything is cooked just right. Order extra of everything and you will be glad you did. Makes for great leftovers. Don't forget to get some BBQ sauce too. Personally, I'm not one to douse everything in BBQ sauce, just a little dip here and there, but the sauces are really good. Even my young niece and nephew enjoy the food. It's simple, down-home good food even the pickiest eaters can enjoy. I've never actually dined-in at this place. I've always called in an order for pick up or ordered right at the take-out window. They are pretty fast.My future father-in-law wants me to choose Joe's to cater our wedding rehearsal dinner. Did I really ever imagine in my wildest princess wedding dreams that I would choose BBQ for my rehearsal dinner? Not really, but Joe's is excellent, and we're heading toward a laid-back wedding theme anyway to take it easy on our many out-of-town family and friends. I am sure they will all love Joe's and I can't wait for them to try it!",review,iC7NVBmkzRl4rKEU5MWS0A,0,1,0
d7V3ykQHqChv0KtXEanKLw,6/2/2010,nko0r0v1b9Hz6oaf3_h4og,5,"I LOVE the pretzels! Wish they would bring back the Asiago Dip, but hey, garlic salt and cabs are 2 of my main food groups. Great atmosphere, can always see a game on one of the many TVs, even when my girlfriend thinks I'm paying attention to her! Milk stout is my favorite beer, but the light isn't bad either. Something tells me the others are good too, but it's hard to get me to stray from my patterns. Oh well, I'll leave someone else to review those. All in all, the food and beer is great, and the servers seem to know what they're doing too.",review,mu6AXWXmUiE2FVw_pYxHdA,1,2,1
